# Generated at 2026-01-07 07:10:32. For help see https://bit.ly/3Bzs6Z4
# URL: https://metaspace2020.org/annotations?db_id=24&ds=2026-01-07_13h02m29s
"group","datasetName","datasetId","formula","adduct","chemMod","ion","mz","msm","fdr","rhoSpatial","rhoSpectral","rhoChaos","moleculeNames","moleculeIds","minIntensity","maxIntensity","totalIntensity","isomeric_mols_count","isomeric_ions_count","isobaric_ions_count","offSample","rawOffSampleProb","isobarIons"
"","MF402upper_noim","2026-01-07_13h02m29s","C40H80NO8P","M+H","","C40H80NO8P+H+","734.5694319549999","0.9320958","0.05","0.9758083776278987","0.9559598164823442","0.9992091266476528","PC(11:0/21:0), PC(13:0/19:0), PC(14:0/18:0), PC(17:0/15:0), PC(20:0/12:0), PC(19:0/13:0), PC(21:0/11:0), PC(22:0/10:0), PE(18:0(10(R)Me)/16:0), PE(13:0/22:0), PE(14:0/21:0), PE(15:0/20:0), PE(18:0/17:0), PE(22:0/13:0), PE(17:0/18:0), PC(10:0/22:0), PC(12:0/20:0), PC(15:0/17:0), PC(16:0/16:0), PC(18:0/14:0), PE(19:0/16:0), PE(16:0/19:0), PE(21:0/14:0), PC(9:0/23:0), PE(20:0/15:0)","LMGP01010418, LMGP01010463, LMGP01010488, LMGP01010704, LMGP01010997, LMGP01010970, LMGP01011062, LMGP01011080, LMGP02010357, LMGP02010401, LMGP02010418, LMGP02010463, LMGP02010625, LMGP02011164, LMGP02011212, LMGP01010397, LMGP01010444, LMGP01010537, LMGP01010564, LMGP01010739, LMGP02010171, LMGP02010173, LMGP02011168, LMGP01011267, LMGP02010825","0","43689","492517728","25","0","0",,,""
"","MF402upper_noim","2026-01-07_13h02m29s","C38H77N2O7P","M+H","","C38H77N2O7P+H+","705.554116239","0.9032185","0.05","0.9101109174993132","0.993101680065722","0.9993204520856621","PE-Cer(d14:1(4E)/22:0(2OH)), PE-Cer(d16:1(4E)/20:0(2OH))","LMSP03020062, LMSP03020082","0","11954","51471516","2","0","0",,,""
"","MF402upper_noim","2026-01-07_13h02m29s","C41H83N2O6P","M+H","","C41H83N2O6P+H+","731.6061518109999","0.85266525","0.05","0.872902011556809","0.9775945391848175","0.9992043070754668","SM(d16:1/20:0), PE-Cer(d15:1(4E)/24:0), SM(d18:1/18:0), SM(d18:0/18:1(9Z)), PE-Cer(d14:1(4E)/25:0), PE-Cer(d16:1(4E)/23:0)","LMSP03010052, LMSP03020018, LMSP03010001, LMSP03010031, LMSP03020013, LMSP03020025","0","11995","113299328","6","0","0",,,""
"","MF402upper_noim","2026-01-07_13h02m29s","C45H91N2O6P","M+H","","C45H91N2O6P+H+","787.6687520669999","0.84817636","0.05","0.8683241114821649","0.9776225105168346","0.9991555548656494","SM(d16:1/24:0), SM(d18:1/22:0)","LMSP03010073, LMSP03010006","0","10226","91480856","2","0","0",,,""
"","MF402upper_noim","2026-01-07_13h02m29s","C33H64NO9P","M+H","","C33H64NO9P+H+","650.439146063","0.8268145","0.05","0.8339279373847307","0.9922627651037403","0.9992009821368698","PC(16:0/9:0(CHO))","LMGP20010008","0","12940","90582144","1","0","0",,,""
"","MF402upper_noim","2026-01-07_13h02m29s","C43H87N2O6P","M+H","","C43H87N2O6P+H+","759.6374519389999","0.79612374","0.05","0.8092264955438393","0.9848374456642366","0.9989549914343561","SM(d18:1/20:0), SM(d16:1/22:0)","LMSP03010005, LMSP03010061","0","6779","68344584","2","0","0",,,""
"","MF402upper_noim","2026-01-07_13h02m29s","C38H76NO8P","M+H","","C38H76NO8P+H+","706.5381318269999","0.78479016","0.05","0.7940611481306733","0.989189971426104","0.9991251379112085","PE(17:0/16:0), PC(10:0/20:0), PC(14:0/16:0), PC(17:0/13:0), PC(18:0/12:0), PE-NMe(16:0/16:0), PE(12:0/21:0), PE(18:0/15:0), PE(16:0/17:0), PC(9:0/21:0), PC(12:0/18:0), PC(13:0/17:0), PC(11:0/19:0), PC(15:0/15:0), PC(16:0/14:0), PC(20:0/10:0), PC(19:0/11:0), PE(20:0/13:0), PE(21:0/12:0), PE(19:0/14:0), PE(15:0/18:0), PE(13:0/20:0), PE(14:0/19:0)","LMGP02010542, LMGP01010395, LMGP01010481, LMGP01010702, LMGP01010736, LMGP02010337, LMGP02010377, LMGP02010623, LMGP02011227, LMGP01011265, LMGP01010438, LMGP01010461, LMGP01010416, LMGP01010530, LMGP01010560, LMGP01010995, LMGP01010969, LMGP02011181, LMGP02011170, LMGP02011186, LMGP02011233, LMGP02011253, LMGP02010413","0","8096","64613920","23","0","0",,,""
"","MF402upper_noim","2026-01-07_13h02m29s","C39H79N2O6P","M+H","","C39H79N2O6P+H+","703.5748516829999","0.76101804","0.05","0.7908629403120039","0.9630872422609403","0.9991440600854398","SM(d16:1/18:0), SM(d17:1/17:0), PE-Cer(d14:1(4E)/23:0), PE-Cer(d16:1(4E)/21:0), SM(d18:1/16:0), PE-Cer(d15:1(4E)/22:0)","LMSP03010042, LMSP03010043, LMSP03020010, LMSP03020023, LMSP03010003, LMSP03020017","0","36181","384572608","6","0","0",,,""
"","MF402upper_noim","2026-01-07_13h02m29s","C42H80NO8P","M+H","","C42H80NO8P+H+","758.5694319549999","0.7581143","0.05","0.7883044271900832","0.9623579499773747","0.9993188157874459","PC(16:1(9Z)/18:1(9Z)), PC(18:1(9Z)/16:1(9Z)), PC(16:0/18:2(11Z,13Z)), PC(16:0/18:2(9E,12E)), PC(16:0/18:2(9E,11E)), PC(16:0/18:2(9E,11Z)), PC(16:1(2Z)/18:1(9Z)), PC(17:1(9Z)/17:1(9Z)), PC(18:0/16:2(2E,4E)), PC(18:2(2E,4E)/16:0), PC(18:2(6Z,9Z)/16:0), PC(12:0/22:2(13Z,16Z)), PC(14:1(9Z)/20:1(11Z)), PC(17:0/17:2(9Z,12Z)), PC(17:2(9Z,12Z)/17:0), PC(20:1(11Z)/14:1(9Z)), PC(20:2(11Z,14Z)/14:0), PC(18:1(11Z)/16:1(9Z)), PE(15:0/22:2(13Z,16Z)), PE(17:0/20:2(11Z,14Z)), PE(19:1(9Z)/18:1(9Z)), PE(20:1(11Z)/17:1(9Z)), PE(20:2(11Z,14Z)/17:0), PE(22:1(11Z)/15:1(9Z)), PE(22:2(13Z,16Z)/15:0), PC(16:0/18:2(10E,12Z)), PC(16:0/18:2(2E,4E)), PC(16:0/18:2(2Z,4Z)), PC(16:0/18:2(6Z,9Z)), PC(16:0/18:2(9Z,12Z)), PC(16:1(9Z)/18:1(11Z)), PC(17:1(10Z)/17:1(10Z)), PC(18:2(9Z,12Z)/16:0), PC(15:1(9Z)/19:1(9Z)), PC(19:1(9Z)/15:1(9Z)), PC(22:2(13Z,16Z)/12:0), PE(15:1(9Z)/22:1(11Z)), PE(17:1(9Z)/20:1(11Z)), PE(17:2(9Z,12Z)/20:0), PE(18:1(9Z)/19:1(9Z)), PE(18:2(9Z,12Z)/19:0), PE(19:0/18:2(9Z,12Z)), PC(14:0/20:2(11Z,14Z)), PE-NMe(18:1(9E)/18:1(9E)), PE-NMe(18:1(9Z)/18:1(9Z)), PE(20:0/17:2(9Z,12Z))","LMGP01010688, LMGP01010887, LMGP01010586, LMGP01010592, LMGP01010590, LMGP01010591, LMGP01010678, LMGP01010728, LMGP01010745, LMGP01010920, LMGP01010926, LMGP01011336, LMGP01011398, LMGP01011504, LMGP01011559, LMGP01011808, LMGP01011837, LMGP01012147, LMGP02010471, LMGP02010553, LMGP02010805, LMGP02010850, LMGP02010879, LMGP02011045, LMGP02011075, LMGP01010585, LMGP01010587, LMGP01010588, LMGP01010589, LMGP01010594, LMGP01010687, LMGP01010727, LMGP01010932, LMGP01011449, LMGP01011761, LMGP01012035, LMGP02010501, LMGP02010580, LMGP02010609, LMGP02010646, LMGP02010667, LMGP02010776, LMGP01011373, LMGP02010331, LMGP02010338, LMGP02010830","0","114379","824346176","46","0","0",,,""
"","MF402upper_noim","2026-01-07_13h02m29s","C16H10O7","M+K","","C16H10O7+K+","353.005810553","0.7569732","0.05","0.8700493540023332","0.8705276539919471","0.9994338054235481","Fasciculiferin, 5-Hydroxybowdichione, Gomphrenol, 2,3,8,10-Tetrahydroxy[2]benzopyrano[4,3-b][1]benzopyran-7(5H)-one, Wedelolactone","LMPK12113390, LMPK12050445, LMPK12112878, LMPK12113387, LMPK12090046","0","36099","101930648","5","0","0",,,""
